amount,ID,DESCRIPCION,TIPO,NOMBRE,
1,2SSC2025_18,Por cada Bestia en la Arena de tu adversario suma 500 puntos a tu Reina pero no puedes invocar Bestias. Envía esta carta al Cementerio cuando deje de cumplirse la condición.,Conjuro,Control Estratégico,
1,2SSC2025_19,"Envía una carta Bestia de tu Mano al Cementerio, destruye un Conjuro y/o Recurso en la Arena. Envía esta carta al Cementerio después de usarla.",Conjuro,Sacrificio Estratégico,
1,2SSC2025_20,Si tienes cartas en el Cementerio puedes activar este Conjuro. Devuelve hasta cuatro cartas al azar del Cementerio a tu Mazo o la cantidad que haya en él. Esta carta no puede ser seleccionada para regresar al Mazo. Envía esta carta al Cementerio después de usarla.,Conjuro,Reencarnación de los Caídos,
1,2SSC2025_21,"Si tienes en tu Arena una carta 'Token' y es LVL II o menor y tiene ATK=0, puedes convertirlo en 'Cadete Entrenado' al hacerlo, la Bestia tendrá las siguientes características: ATK=1200 y DEF=1000 seguira siendo de su mismo LVL y podrás cambiar la posición en la que estaba Invocado. Envía esta carta al Cementerio después de usarla.",Conjuro,Entrenamiento Riguroso,
1,2SSC2025_22,"Busca dos Conjuros y/o Recursos en tu Mazo y añádelos a tu Mano. Luego, resta 700 puntos a tu Reina. Si tu Reina va a quedarse sin puntos, envía una de las cartas que tomaste del Mazo al Cementerio. Envía esta carta al Cementerio después de usarla.",Conjuro,Costo Estratégico,
1,2SSC2025_23,"Puedes activar esta carta si tienes un Conjuro de Campo en la Arena, al hacerlo puedes intercambiarlo por otro que tengas en tu Mano. Envía esta carta al Cementerio después de usarla.",Conjuro,Cambio de Planes,
1,2MRSP2025_05,"Puedes utilizar solo uno de los siguientes efectos: 
-Si tienes una Bestia con nombre 'Spinae' en tu Mano, puedes robar una carta del Mazo.
-Busca una Bestia de nombre 'Spinae' en tu Mazo y traela a tu Mano.",Conjuro,Sombras Spinae,
1,2MRSP2025_06,"Si tu Reina Komori solo tiene una Bestia o ninguna equipada, puedes equiparle esta carta y súmale 2000 puntos. Cuando sea tu cuarto Turno desde la activación de este Conjuro, desequipa esta carta y envíala al Cementerio. ",Conjuro,Eclipse Ritual,
1,2MRSP2025_07,"Mientras en tu turno no se active o se salte la Fase de Activación de Habilidad Reina, tu oponente deberá saltar su Fase de Activación de Habilidad Reina. Envia esta carta al Cementerio cuando deje de cumplirse esta condición.",Conjuro,Tratado de Komori,
1,2SESP2025_04,Los puntos de ATK de tu Reina no se ven afectados en las siguientes dos Fases de Combate de tu oponente y en tu siguiente Turno no puedes entrar a Fase de Combate.,Conjuro,Invulnerabilidad Real,
1,2SESP2025_05,"Si no tienes Bestias en tu Arena, devuelve a la Mano de tu oponente sus Bestias en la Arena, luego tú y tu oponente no podrán entrar en Fase de Combate hasta tú siguiente turno. Envía esta carta al Cementerio después de activarla.",Conjuro,Cese de Hostilidades,
1,2SESP2025_06,"Si tu oponente tiene dos o mas Bestias en su Arena, puedes enviar una de esas Bestias de hasta LVL V al Cementerio. En tu proximo Turno no podrás entrar en la Fase de Activación de Habilidad Reina.",Conjuro,Campo Minado,
1,2SESP2025_07,"Si no tienes cartas en tu Mano. Roba cuatro cartas de tu Mazo. Luego, para cada carta que desees conservar en tu Mano, selecciona una de tus Bestias en la Arena y restale 500 puntos según su posición. Si decides no realizar la resta de puntos, devuelve las cartas restantes al Mazo.",Conjuro,Forzar el Destino,
