amount,ID,DESCRIPCION,ATK,DEF,LVL,REINO,NOMBRE,
1,2MBN2025_10,"No confundir su apariencia con su fuerza. Gran arma de la Reina, ya que su apariencia confunde y con su gran fuerza elimina enemigos de manera implacable.",ATK=2100,DEF=2500,LVL. VI,Nicrom,Dulce Malum,
1,2MBN2025_11,"Debido a su conexión sanguínea, es una guerrera importante del ejército de la Reina. Muy letal y precisa.",ATK=2200,DEF=2500,LVL. VII,Nicrom,Komori Bellator,
1,2MBA2025_05,"Un cardumen de peces dorados y brillantes, conocidos por su naturaleza exploradora. Se mueven en pequeños grupos, iluminando las profundidades marinas.",ATK=800,DEF=1300,LVL. I,Aqua,Exploradores Luminosos,
1,2MBA2025_06,"Esta Bestia de tentáculos resplandecientes y ojos rojos domina la energía marina, mostrando una lealtad inquebrantable a la Reina Orcinus.",ATK=600,DEF=1200,LVL. II,Aqua,Guardián de Mareas,
1,2MBA2025_07,"Un cardumen de Bestias lumínicas de tono rojizo, que obedecen fielmente las órdenes de 'Sombra Radiante' en todo momento.",ATK=600,DEF=500,LVL. II,Aqua,Cardumen Carmesí,
1,2MBA2025_08,"Esta Bestia de una tribu primitiva, tiene un aspecto escamoso y bello similar a una forma humanoide. Controla la energía marina de su alrededor, destacando como una guerrera importante en el ejército de la Reina.",ATK=1200,DEF=1500,LVL. III,Aqua,Sirena de Escamas,
1,2MBA2025_09,"Es una colosal Bestia marina, rodeada por halos de energía brillante. Desde su boca, emana una luz intensa que refleja su poder, iluminando las profundidades. ",ATK=1800,DEF=800,LVL. IV,Aqua,Aqualuz Devastador,
1,2MBA2025_10,"Esta Bestia colosal con tentáculos innumerables y ojos rojos, crea mareas gigantes al emerger del mar mostrando su inmensa fuerza.",ATK=2000,DEF=1500,LVL. V,Aqua,Titán de Mareas,
1,2MBA2025_11,Esta Bestia de piel azulada y escamas luce un vestido iluminado con manos palmeadas. Su cabello rosado transparente y gema rojiza en el pecho reflejan su papel como parte de la élite de la Reina.,ATK=2700,DEF=1900,LVL. VII,Aqua,Sirena del Lazo Azul,
1,2MBP2025_05,Tierna criatura de fuego amigable con todos los seres del reino Pyro.,ATK=400,DEF=1500,LVL. I,Pyro,Fosforin,
1,2MBP2025_06,Aprendiz del 'Guardian de las Puertas'. Se enfoca en adquirir experiencia en el campo de batalla.,ATK=1100,DEF=1500,LVL. II,Pyro,Guardián en Entrenamiento,
1,2MBP2025_07,Ser de luz apacible que ilumina los lugares mas oscuros del campo de batalla. Brinda fortaleza a sus compañeros de Combate.,ATK=1200,DEF=1500,LVL. III,Pyro,Destello Brillante,
1,2MBP2025_08,Artista marcial del reino Pyro. Disfruta de combatir y aprender de sus enemigos.,ATK=1600,DEF=1000,LVL. IV,Pyro,Pyrokido,
1,2MBP2025_09,Próxima gran maestra del arte marcial del Pyrokido.,ATK=2200,DEF=2500,LVL. VI,Pyro,Gemela Ulv de Flamma,
1,2MBP2025_10,"Alto mando de la defensa de la Reina Naja, una de las más fieles guerreras.",ATK=2400,DEF=1700,LVL. VI,Pyro,Guardinana de la Corona,
1,2MBP2025_11,"Después de la traición de 'La Fénix del Trono', asume su posición como parte de la familia Fénix y se vuelve escudera principal de la Reina Naja. ",ATK=2800,DEF=1800,LVL. VII,Pyro,Nueva Guardiana Fénix ,
1,2SSC2025_01,Un joven espíritu del bosque asociado a los lagos y fuentes de agua.,ATK=1000	,DEF=1200,LVL. I,Natura,Espíritu de los Lagos,
1,2SSC2025_02,"Esta Bestia es amable con todos, sin hacer distinciones entre reinos, incluso cuando están en guerra. Siempre busca la calma y la paz.",ATK=1300,DEF=1400,LVL. II,Natura,Capibara,
1,2SSC2025_03,"Una Bestia que encarna los bosques, nacida de ellos y sostenida por su esencia.",ATK=1500,DEF=1400,LVL. III,Natura,Espíritu del Bosque,
1,2SSC2025_04,Bestia que carga con un pecado el cual ocasiona que salgan puas de su cuerpo.,ATK=1000	,DEF=1200,LVL. I,Nicrom,Pecado Punzante,
1,2SSC2025_05,"Esta Bestia castiga y vigila a los pecadores, las almas deben tener cuidado de llamar su atención o lo lamentarán.",ATK=1300,DEF=1400,LVL. II,Nicrom,Verdugo de los Condenados,
1,2SSC2025_06,"Una Bestia nacida de los miedos y el mundo de la oscuridad, el solo verla puede ser peligroso.",ATK=1500,DEF=1400,LVL. III,Nicrom,Miedo de las Profundidades,
1,2SSC2025_07,Valquiria guerrera experta del arte marcial del Pyrokido.,ATK=2200,DEF=2500,LVL. VI,Nicrom,Maestra de Flamma Ulv,
1,2SSC2025_08,"Teniente de la defensa superior de la Reina, una de las más fuertes subordinadas.",ATK=2400,DEF=1700,LVL. VI,Nicrom,Protectora del Trono,
1,2SSC2025_09,Mano derecha de la Reina. Última línea de defensa.,ATK=2800,DEF=1800,LVL. VII,Nicrom,La Fénix del Trono,
1,2SSC2025_10,Un mercenario contratado para defender las costas del reino Aqua.,ATK=900,DEF=1000,LVL. I,Aqua,Lobo de las Aguas,
1,2SSC2025_11,"Un guerrero  de los articos del reino Aqua, esta especializado en sobrevivir a entornos de baja temperatura.",ATK=1100,DEF=1300,LVL. II,Aqua,Guardián Helado del Norte,
1,2SSC2025_12,Una dulce joven de los mares. No debería engañarte su dulce apariencia  ya que posee un veneno mortal.,ATK=1600,DEF=1500,LVL. III,Aqua,Kiara Venenosa,
1,2SSC2025_13,Tierna criatura del reino Pyro. Es algo traviesa y la suelen confundir con su hermano 'Fosforin'.,ATK=950,DEF=1150,LVL. I,Pyro,Cerillo,
1,2SSC2025_14,Criatura magica de fuego que apoya a las tropas en batalla.,ATK=1250,DEF=1400,LVL. II,Pyro,Abrasador Guerrero,
1,2SSC2025_15,Es la forma que adoptan los 'Infernus Inversor' al surgir de las llamas de la Reina. Con el tiempo su ardiente cuerpo se endurece y adquieren su Habilidad Esp.,ATK=1550,DEF=1450,LVL. III,Pyro,Infernus en Llamas,
1,2MRSP2025_04,Poderoso dragón que cuenta con una piel como armadura tenebrosa. Su poder aterra a sus enemigos.,ATK=1500,DEF=1800,LVL. III,Nicrom,Draco Spinae,
